02329,GUORUI PPT,国瑞置业　　　　
02333,GREATWALL MOTOR,长城汽车　　　　
02356,DAHSING BANKING,大新银行集团　　
02357,AVICHINA,中航科工　　　　
02380,CHINA POWER,中国电力　　　　
02382,SUNNY OPTICAL,舜宇光学科技　　
02386,SINOPEC SEG,中石化炼化工程　
02388,BOC HONG KONG,中银香港　　　　
02600,CHALCO,中国铝业　　　　
02601,CPIC,中国太保　　　　
02607,SH PHARMA,上海医药　　　　
02628,CHINA LIFE,中国人寿　　　　
02688,ENN ENERGY,新奥能源　　　　
02689,ND PAPER,玖龙纸业　　　　
02727,SH ELECTRIC,上海电气　　　　
02777,R&F PROPERTIES,富力地产　　　　
02866,CSCL,中海集运　　　　
02877,SHINEWAY PHARM,神威药业　　　　
02880,DALIAN PORT,大连港　　　　　
02883,CHINA OILFIELD,中海油田服务　　
02899,ZIJIN MINING,紫金矿业　　　　
03308,GOLDEN EAGLE,金鹰商贸集团　　
03311,CHINA STATE CON,中国建筑国际　　
03323,CNBM,中国建材　　　　
03328,BANKCOMM,交通银行　　　　
03331,VINDA INT'L,维达国际　　　　
03333,EVERGRANDE,中国恒大　　　　
03360,FE HORIZON,远东宏信　　　　
03377,SINO-OCEAN GP,远洋集团　　　　
03380,LOGAN PPT,龙光地产　　　　
03383,AGILE GROUP,雅居乐集团　　　
03396,LEGENDHOLDING,联想控股　　　　
03606,FUYAO GLASS,福耀玻璃　　　　
03618,CQRC BANK,重庆农村商业银行
03698,HUISHANG BANK,徽商银行　　　　
03699,WANDA COMM,万达商业　　　　
03799,DALI FOODS,达利食品　　　　
03800,GCL-POLY ENERGY,保利协鑫能源　　
03808,SINOTRUK,中国重汽　　　　
03823,TECH PRO,德普科技　　　　
03886,TOWN HEALTH,康健国际医疗　　
03888,KINGSOFT,金山软件　　　　
03898,CRRC TIMES ELEC,中车时代电气　　
03899,CIMC ENRIC,中集安瑞科　　　
03900,GREENTOWN CHINA,绿城中国　　　　
03908,CICC,中金公司　　　　
03968,CM BANK,招商银行　　　　
03969,CHINA CRSC,中国通号　　　　
03988,BANK OF CHINA,中国银行　　　　
03993,CMOC,洛阳钼业　　　　
03996,CH ENERGY ENG,中国能源建设　　
03998,BOSIDENG,波司登　　　　　
06030,CITIC SEC,中信证券　　　　
06808,SUNART RETAIL,高鑫零售　　　　
06818,CEB BANK,中国光大银行　　
06837,HAITONG SEC,海通证券　　　　
06863,HUISHAN DAIRY,辉山乳业　　　　
06881,CGS,中国银河　　　　
06886,HTSC
